Parish,cancer_rate,median_income
Cameron,325.2,69847
Iberville,318.0,59410
Claiborne,309.4,32034
Red River,298.9,43821
Franklin,293.3,41129
Evangeline,290.3,34526
Union,289.9,47068
Bienville,289.4,34268
St. Landry,287.3,44478
Washington,286.9,41803
Tensas,286.6,35653
Natchitoches,284.8,41310
Acadia,284.8,44977
West Feliciana,283.4,71985
Jackson,282.7,40406
St. Martin,277.1,50806
Pointe Coupee,277.0,53045
Vermilion,276.9,56194
Morehouse,273.2,37875
Assumption,272.5,47023
Livingston,268.8,77978
Richland,268.7,48125
De Soto,268.1,49807
St. Mary,267.5,47322
Allen,266.5,52755
West Baton Rouge,264.8,80510
East Carroll,263.4,30856
East Feliciana,262.0,64709
Beauregard,261.6,68525
St. James,261.5,62946
Sabine,261.0,40777
Avoyelles,260.6,38696
Caddo,258.7,47572
West Carroll,258.4,45035
St. Tammany,258.2,76914
La Salle,257.4,59926
Winn,257.1,44922
Ascension,256.1,93800
St. Bernard,255.8,55857
Tangipahoa,254.6,55274
Rapides,254.4,55407
Grant,253.2,57362
Catahoula,253.1,48259
St. Charles,249.4,79191
Iberia,248.9,55190
Jefferson,247.8,63257
Webster,247.6,34263
East Baton Rouge,246.9,62083
Plaquemines,245.5,77996
Vernon,244.2,56547
Bossier,243.9,64598
Lafayette,242.6,66617
Ouachita,242.0,49261
Jefferson Davis,241.9,52470
Caldwell,241.0,45707
LaFourche,240.6,61381
Calcasieu,236.8,64370
Concordia,236.6,38929
St. Helena,236.1,46402
Orleans,233.2,51116
Terrebonne,232.1,63088
Madison,231.6,34508
St. John the Baptist,231.4,65114
Lincoln,214.3,37001
