Parish,cancer_rate
Cameron,325.2
Iberville,318.0
Claiborne,309.4
Red River,298.9
Franklin,293.3
Evangeline,290.3
Union,289.9
Bienville,289.4
St. Landry,287.3
Washington,286.9
Tensas,286.6
Natchitoches,284.8
Acadia,284.8
West Feliciana,283.4
Jackson,282.7
St. Martin,277.1
Pointe Coupee,277.0
Vermilion,276.9
Morehouse,273.2
Assumption,272.5
Livingston,268.8
Richland,268.7
De Soto,268.1
St. Mary,267.5
Allen,266.5
West Baton Rouge,264.8
East Carroll,263.4
East Feliciana,262.0
Beauregard,261.6
St. James,261.5
Sabine,261.0
Avoyelles,260.6
Caddo,258.7
West Carroll,258.4
St. Tammany,258.2
La Salle,257.4
Winn,257.1
Ascension,256.1
St. Bernard,255.8
Tangipahoa,254.6
Rapides,254.4
Grant,253.2
Catahoula,253.1
St. Charles,249.4
Iberia,248.9
Jefferson,247.8
Webster,247.6
East Baton Rouge,246.9
Plaquemines,245.5
Vernon,244.2
Bossier,243.9
Lafayette,242.6
Ouachita,242.0
Jefferson Davis,241.9
Caldwell,241.0
LaFourche,240.6
Calcasieu,236.8
Concordia,236.6
St. Helena,236.1
Orleans,233.2
Terrebonne,232.1
Madison,231.6
St. John the Baptist,231.4
Lincoln,214.3
