Parish,median_income
Acadia,44977
Allen,52755
Ascension,93800
Assumption,47023
Avoyelles,38696
Beauregard,68525
Bienville,34268
Bossier,64598
Caddo,47572
Calcasieu,64370
Caldwell,45707
Cameron,69847
Catahoula,48259
Claiborne,32034
Concordia,38929
De Soto,49807
East Baton Rouge,62083
East Carroll,30856
East Feliciana,64709
Evangeline,34526
Franklin,41129
Grant,57362
Iberia,55190
Iberville,59410
Jackson,40406
Jefferson,63257
Jefferson Davis,52470
Lafayette,66617
Lafourche,61381
LaSalle,59926
Lincoln,37001
Livingston,77978
Madison,34508
Morehouse,37875
Natchitoches,41310
Orleans,51116
Ouachita,49261
Plaquemines,77996
Pointe Coupee,53045
Rapides,55407
Red River,43821
Richland,48125
Sabine,40777
St. Bernard,55857
St. Charles,79191
St. Helena,46402
St. James,62946
St. John the Baptist,65114
St. Landry,44478
St. Martin,50806
St. Mary,47322
St. Tammany,76914
Tangipahoa,55274
Tensas,35653
Terrebonne,63088
Union,47068
Vermilion,56194
Vernon,56547
Washington,41803
Webster,34263
West Baton Rouge,80510
West Carroll,45035
West Feliciana,71985
Winn,44922
