"Label (Grouping)","Median income (dollars)"
"Louisiana",""
"    Households",""
"        Estimate","57,852"
"    Families",""
"        Estimate","74,911"
"    Married-couple families",""
"        Estimate","97,640"
"    Nonfamily households",""
"        Estimate","33,230"
"Acadia Parish, Louisiana",""
"    Households",""
"        Estimate","44,977"
"    Families",""
"        Estimate","61,506"
"    Married-couple families",""
"        Estimate","84,492"
"    Nonfamily households",""
"        Estimate","26,188"
"Allen Parish, Louisiana",""
"    Households",""
"        Estimate","52,755"
"    Families",""
"        Estimate","61,779"
"    Married-couple families",""
"        Estimate","90,500"
"    Nonfamily households",""
"        Estimate","23,493"
"Ascension Parish, Louisiana",""
"    Households",""
"        Estimate","93,800"
"    Families",""
"        Estimate","107,966"
"    Married-couple families",""
"        Estimate","123,367"
"    Nonfamily households",""
"        Estimate","45,032"
"Assumption Parish, Louisiana",""
"    Households",""
"        Estimate","47,023"
"    Families",""
"        Estimate","69,477"
"    Married-couple families",""
"        Estimate","84,123"
"    Nonfamily households",""
"        Estimate","24,469"
"Avoyelles Parish, Louisiana",""
"    Households",""
"        Estimate","38,696"
"    Families",""
"        Estimate","48,982"
"    Married-couple families",""
"        Estimate","73,807"
"    Nonfamily households",""
"        Estimate","23,232"
"Beauregard Parish, Louisiana",""
"    Households",""
"        Estimate","68,525"
"    Families",""
"        Estimate","82,550"
"    Married-couple families",""
"        Estimate","101,324"
"    Nonfamily households",""
"        Estimate","38,400"
"Bienville Parish, Louisiana",""
"    Households",""
"        Estimate","34,268"
"    Families",""
"        Estimate","50,606"
"    Married-couple families",""
"        Estimate","69,794"
"    Nonfamily households",""
"        Estimate","21,744"
"Bossier Parish, Louisiana",""
"    Households",""
"        Estimate","64,598"
"    Families",""
"        Estimate","81,271"
"    Married-couple families",""
"        Estimate","98,099"
"    Nonfamily households",""
"        Estimate","37,707"
"Caddo Parish, Louisiana",""
"    Households",""
"        Estimate","47,572"
"    Families",""
"        Estimate","64,417"
"    Married-couple families",""
"        Estimate","93,053"
"    Nonfamily households",""
"        Estimate","29,269"
"Calcasieu Parish, Louisiana",""
"    Households",""
"        Estimate","64,370"
"    Families",""
"        Estimate","79,749"
"    Married-couple families",""
"        Estimate","100,289"
"    Nonfamily households",""
"        Estimate","38,284"
"Caldwell Parish, Louisiana",""
"    Households",""
"        Estimate","45,707"
"    Families",""
"        Estimate","67,383"
"    Married-couple families",""
"        Estimate","99,519"
"    Nonfamily households",""
"        Estimate","17,778"
"Cameron Parish, Louisiana",""
"    Households",""
"        Estimate","69,847"
"    Families",""
"        Estimate","76,429"
"    Married-couple families",""
"        Estimate","91,429"
"    Nonfamily households",""
"        Estimate","35,114"
"Catahoula Parish, Louisiana",""
"    Households",""
"        Estimate","48,259"
"    Families",""
"        Estimate","63,792"
"    Married-couple families",""
"        Estimate","71,238"
"    Nonfamily households",""
"        Estimate","22,390"
"Claiborne Parish, Louisiana",""
"    Households",""
"        Estimate","32,034"
"    Families",""
"        Estimate","39,791"
"    Married-couple families",""
"        Estimate","55,603"
"    Nonfamily households",""
"        Estimate","18,233"
"Concordia Parish, Louisiana",""
"    Households",""
"        Estimate","38,929"
"    Families",""
"        Estimate","53,260"
"    Married-couple families",""
"        Estimate","78,685"
"    Nonfamily households",""
"        Estimate","20,409"
"De Soto Parish, Louisiana",""
"    Households",""
"        Estimate","49,807"
"    Families",""
"        Estimate","59,472"
"    Married-couple families",""
"        Estimate","93,786"
"    Nonfamily households",""
"        Estimate","23,912"
"East Baton Rouge Parish, Louisiana",""
"    Households",""
"        Estimate","62,083"
"    Families",""
"        Estimate","82,355"
"    Married-couple families",""
"        Estimate","114,192"
"    Nonfamily households",""
"        Estimate","41,633"
"East Carroll Parish, Louisiana",""
"    Households",""
"        Estimate","30,856"
"    Families",""
"        Estimate","36,875"
"    Married-couple families",""
"        Estimate","70,353"
"    Nonfamily households",""
"        Estimate","16,433"
"East Feliciana Parish, Louisiana",""
"    Households",""
"        Estimate","64,709"
"    Families",""
"        Estimate","85,571"
"    Married-couple families",""
"        Estimate","104,265"
"    Nonfamily households",""
"        Estimate","35,357"
"Evangeline Parish, Louisiana",""
"    Households",""
"        Estimate","34,526"
"    Families",""
"        Estimate","46,912"
"    Married-couple families",""
"        Estimate","64,364"
"    Nonfamily households",""
"        Estimate","20,726"
"Franklin Parish, Louisiana",""
"    Households",""
"        Estimate","41,129"
"    Families",""
"        Estimate","50,753"
"    Married-couple families",""
"        Estimate","69,451"
"    Nonfamily households",""
"        Estimate","23,681"
"Grant Parish, Louisiana",""
"    Households",""
"        Estimate","57,362"
"    Families",""
"        Estimate","65,681"
"    Married-couple families",""
"        Estimate","86,434"
"    Nonfamily households",""
"        Estimate","30,080"
"Iberia Parish, Louisiana",""
"    Households",""
"        Estimate","55,190"
"    Families",""
"        Estimate","63,180"
"    Married-couple families",""
"        Estimate","84,798"
"    Nonfamily households",""
"        Estimate","31,398"
"Iberville Parish, Louisiana",""
"    Households",""
"        Estimate","59,410"
"    Families",""
"        Estimate","69,352"
"    Married-couple families",""
"        Estimate","103,361"
"    Nonfamily households",""
"        Estimate","30,833"
"Jackson Parish, Louisiana",""
"    Households",""
"        Estimate","40,406"
"    Families",""
"        Estimate","52,285"
"    Married-couple families",""
"        Estimate","66,167"
"    Nonfamily households",""
"        Estimate","27,500"
"Jefferson Parish, Louisiana",""
"    Households",""
"        Estimate","63,257"
"    Families",""
"        Estimate","79,749"
"    Married-couple families",""
"        Estimate","100,644"
"    Nonfamily households",""
"        Estimate","40,218"
"Jefferson Davis Parish, Louisiana",""
"    Households",""
"        Estimate","52,470"
"    Families",""
"        Estimate","71,556"
"    Married-couple families",""
"        Estimate","83,040"
"    Nonfamily households",""
"        Estimate","25,054"
"Lafayette Parish, Louisiana",""
"    Households",""
"        Estimate","66,617"
"    Families",""
"        Estimate","86,315"
"    Married-couple families",""
"        Estimate","105,704"
"    Nonfamily households",""
"        Estimate","39,213"
"Lafourche Parish, Louisiana",""
"    Households",""
"        Estimate","61,381"
"    Families",""
"        Estimate","78,226"
"    Married-couple families",""
"        Estimate","96,933"
"    Nonfamily households",""
"        Estimate","29,423"
"LaSalle Parish, Louisiana",""
"    Households",""
"        Estimate","59,926"
"    Families",""
"        Estimate","74,525"
"    Married-couple families",""
"        Estimate","83,530"
"    Nonfamily households",""
"        Estimate","19,787"
"Lincoln Parish, Louisiana",""
"    Households",""
"        Estimate","37,001"
"    Families",""
"        Estimate","58,542"
"    Married-couple families",""
"        Estimate","89,971"
"    Nonfamily households",""
"        Estimate","24,793"
"Livingston Parish, Louisiana",""
"    Households",""
"        Estimate","77,978"
"    Families",""
"        Estimate","89,645"
"    Married-couple families",""
"        Estimate","109,661"
"    Nonfamily households",""
"        Estimate","47,163"
"Madison Parish, Louisiana",""
"    Households",""
"        Estimate","34,508"
"    Families",""
"        Estimate","45,203"
"    Married-couple families",""
"        Estimate","66,743"
"    Nonfamily households",""
"        Estimate","18,125"
"Morehouse Parish, Louisiana",""
"    Households",""
"        Estimate","37,875"
"    Families",""
"        Estimate","51,925"
"    Married-couple families",""
"        Estimate","73,116"
"    Nonfamily households",""
"        Estimate","21,023"
"Natchitoches Parish, Louisiana",""
"    Households",""
"        Estimate","41,310"
"    Families",""
"        Estimate","61,598"
"    Married-couple families",""
"        Estimate","90,187"
"    Nonfamily households",""
"        Estimate","20,410"
"Orleans Parish, Louisiana",""
"    Households",""
"        Estimate","51,116"
"    Families",""
"        Estimate","73,549"
"    Married-couple families",""
"        Estimate","113,055"
"    Nonfamily households",""
"        Estimate","34,587"
"Ouachita Parish, Louisiana",""
"    Households",""
"        Estimate","49,261"
"    Families",""
"        Estimate","67,253"
"    Married-couple families",""
"        Estimate","94,170"
"    Nonfamily households",""
"        Estimate","27,686"
"Plaquemines Parish, Louisiana",""
"    Households",""
"        Estimate","77,996"
"    Families",""
"        Estimate","84,478"
"    Married-couple families",""
"        Estimate","105,700"
"    Nonfamily households",""
"        Estimate","31,172"
"Pointe Coupee Parish, Louisiana",""
"    Households",""
"        Estimate","53,045"
"    Families",""
"        Estimate","71,425"
"    Married-couple families",""
"        Estimate","85,411"
"    Nonfamily households",""
"        Estimate","27,724"
"Rapides Parish, Louisiana",""
"    Households",""
"        Estimate","55,407"
"    Families",""
"        Estimate","67,923"
"    Married-couple families",""
"        Estimate","91,052"
"    Nonfamily households",""
"        Estimate","31,592"
"Red River Parish, Louisiana",""
"    Households",""
"        Estimate","43,821"
"    Families",""
"        Estimate","56,918"
"    Married-couple families",""
"        Estimate","64,037"
"    Nonfamily households",""
"        Estimate","15,466"
"Richland Parish, Louisiana",""
"    Households",""
"        Estimate","48,125"
"    Families",""
"        Estimate","56,184"
"    Married-couple families",""
"        Estimate","80,938"
"    Nonfamily households",""
"        Estimate","24,832"
"Sabine Parish, Louisiana",""
"    Households",""
"        Estimate","40,777"
"    Families",""
"        Estimate","57,847"
"    Married-couple families",""
"        Estimate","73,774"
"    Nonfamily households",""
"        Estimate","24,293"
"St. Bernard Parish, Louisiana",""
"    Households",""
"        Estimate","55,857"
"    Families",""
"        Estimate","66,964"
"    Married-couple families",""
"        Estimate","87,527"
"    Nonfamily households",""
"        Estimate","32,092"
"St. Charles Parish, Louisiana",""
"    Households",""
"        Estimate","79,191"
"    Families",""
"        Estimate","94,964"
"    Married-couple families",""
"        Estimate","124,866"
"    Nonfamily households",""
"        Estimate","39,851"
"St. Helena Parish, Louisiana",""
"    Households",""
"        Estimate","46,402"
"    Families",""
"        Estimate","56,836"
"    Married-couple families",""
"        Estimate","75,208"
"    Nonfamily households",""
"        Estimate","22,745"
"St. James Parish, Louisiana",""
"    Households",""
"        Estimate","62,946"
"    Families",""
"        Estimate","84,091"
"    Married-couple families",""
"        Estimate","115,475"
"    Nonfamily households",""
"        Estimate","28,957"
"St. John the Baptist Parish, Louisiana",""
"    Households",""
"        Estimate","65,114"
"    Families",""
"        Estimate","75,517"
"    Married-couple families",""
"        Estimate","97,118"
"    Nonfamily households",""
"        Estimate","35,638"
"St. Landry Parish, Louisiana",""
"    Households",""
"        Estimate","44,478"
"    Families",""
"        Estimate","53,278"
"    Married-couple families",""
"        Estimate","74,369"
"    Nonfamily households",""
"        Estimate","21,985"
"St. Martin Parish, Louisiana",""
"    Households",""
"        Estimate","50,806"
"    Families",""
"        Estimate","66,417"
"    Married-couple families",""
"        Estimate","86,206"
"    Nonfamily households",""
"        Estimate","28,069"
"St. Mary Parish, Louisiana",""
"    Households",""
"        Estimate","47,322"
"    Families",""
"        Estimate","63,102"
"    Married-couple families",""
"        Estimate","92,070"
"    Nonfamily households",""
"        Estimate","24,957"
"St. Tammany Parish, Louisiana",""
"    Households",""
"        Estimate","76,914"
"    Families",""
"        Estimate","92,115"
"    Married-couple families",""
"        Estimate","108,189"
"    Nonfamily households",""
"        Estimate","43,355"
"Tangipahoa Parish, Louisiana",""
"    Households",""
"        Estimate","55,274"
"    Families",""
"        Estimate","69,080"
"    Married-couple families",""
"        Estimate","90,788"
"    Nonfamily households",""
"        Estimate","28,275"
"Tensas Parish, Louisiana",""
"    Households",""
"        Estimate","35,653"
"    Families",""
"        Estimate","51,447"
"    Married-couple families",""
"        Estimate","60,580"
